E:\ML\IMG\center_2023_12_16_13_38_32_544.jpg,E:\ML\IMG\left_2023_12_16_13_38_32_544.jpg,E:\ML\IMG\right_2023_12_16_13_38_32_544.jpg,0,0,0,25.05345
E:\ML\IMG\center_2023_12_16_13_38_32_624.jpg,E:\ML\IMG\left_2023_12_16_13_38_32_624.jpg,E:\ML\IMG\right_2023_12_16_13_38_32_624.jpg,0,0,0,24.85201
E:\ML\IMG\center_2023_12_16_13_38_32_691.jpg,E:\ML\IMG\left_2023_12_16_13_38_32_691.jpg,E:\ML\IMG\right_2023_12_16_13_38_32_691.jpg,0,0,0,24.65219
E:\ML\IMG\center_2023_12_16_13_38_32_775.jpg,E:\ML\IMG\left_2023_12_16_13_38_32_775.jpg,E:\ML\IMG\right_2023_12_16_13_38_32_775.jpg,0,0,0,24.45398
E:\ML\IMG\center_2023_12_16_13_38_32_842.jpg,E:\ML\IMG\left_2023_12_16_13_38_32_842.jpg,E:\ML\IMG\right_2023_12_16_13_38_32_842.jpg,0,0,0,24.30636
E:\ML\IMG\center_2023_12_16_13_38_32_909.jpg,E:\ML\IMG\left_2023_12_16_13_38_32_909.jpg,E:\ML\IMG\right_2023_12_16_13_38_32_909.jpg,0,0,0,24.15964
E:\ML\IMG\center_2023_12_16_13_38_32_992.jpg,E:\ML\IMG\left_2023_12_16_13_38_32_992.jpg,E:\ML\IMG\right_2023_12_16_13_38_32_992.jpg,0,0,0,23.91708
E:\ML\IMG\center_2023_12_16_13_38_33_058.jpg,E:\ML\IMG\left_2023_12_16_13_38_33_058.jpg,E:\ML\IMG\right_2023_12_16_13_38_33_058.jpg,0,0.1016688,0,23.79368
E:\ML\IMG\center_2023_12_16_13_38_33_141.jpg,E:\ML\IMG\left_2023_12_16_13_38_33_141.jpg,E:\ML\IMG\right_2023_12_16_13_38_33_141.jpg,0,0.3497979,0,23.81374
E:\ML\IMG\center_2023_12_16_13_38_33_208.jpg,E:\ML\IMG\left_2023_12_16_13_38_33_208.jpg,E:\ML\IMG\right_2023_12_16_13_38_33_208.jpg,0,0.4997196,0,23.96997
E:\ML\IMG\center_2023_12_16_13_38_33_276.jpg,E:\ML\IMG\left_2023_12_16_13_38_33_276.jpg,E:\ML\IMG\right_2023_12_16_13_38_33_276.jpg,0,0.7540623,0,24.40053
E:\ML\IMG\center_2023_12_16_13_38_33_359.jpg,E:\ML\IMG\left_2023_12_16_13_38_33_359.jpg,E:\ML\IMG\right_2023_12_16_13_38_33_359.jpg,0,1,0,25.04904
E:\ML\IMG\center_2023_12_16_13_38_33_441.jpg,E:\ML\IMG\left_2023_12_16_13_38_33_441.jpg,E:\ML\IMG\right_2023_12_16_13_38_33_441.jpg,0.2,1,0,25.7998
E:\ML\IMG\center_2023_12_16_13_38_33_524.jpg,E:\ML\IMG\left_2023_12_16_13_38_33_524.jpg,E:\ML\IMG\right_2023_12_16_13_38_33_524.jpg,0.4,1,0,26.47514
E:\ML\IMG\center_2023_12_16_13_38_33_591.jpg,E:\ML\IMG\left_2023_12_16_13_38_33_591.jpg,E:\ML\IMG\right_2023_12_16_13_38_33_591.jpg,0,0.9022804,0,27.1979
E:\ML\IMG\center_2023_12_16_13_38_33_659.jpg,E:\ML\IMG\left_2023_12_16_13_38_33_659.jpg,E:\ML\IMG\right_2023_12_16_13_38_33_659.jpg,0,0.70138,0,27.61311
E:\ML\IMG\center_2023_12_16_13_38_33_741.jpg,E:\ML\IMG\left_2023_12_16_13_38_33_741.jpg,E:\ML\IMG\right_2023_12_16_13_38_33_741.jpg,0,0.453664,0,27.96247
E:\ML\IMG\center_2023_12_16_13_38_33_807.jpg,E:\ML\IMG\left_2023_12_16_13_38_33_807.jpg,E:\ML\IMG\right_2023_12_16_13_38_33_807.jpg,0,0.3022321,0,28.07535
E:\ML\IMG\center_2023_12_16_13_38_33_874.jpg,E:\ML\IMG\left_2023_12_16_13_38_33_874.jpg,E:\ML\IMG\right_2023_12_16_13_38_33_874.jpg,0,0.1473649,0,28.01307
E:\ML\IMG\center_2023_12_16_13_38_33_958.jpg,E:\ML\IMG\left_2023_12_16_13_38_33_958.jpg,E:\ML\IMG\right_2023_12_16_13_38_33_958.jpg,0,0.3963818,0,28.04901
E:\ML\IMG\center_2023_12_16_13_38_34_026.jpg,E:\ML\IMG\left_2023_12_16_13_38_34_026.jpg,E:\ML\IMG\right_2023_12_16_13_38_34_026.jpg,0,0.5998556,0,28.21908
E:\ML\IMG\center_2023_12_16_13_38_34_108.jpg,E:\ML\IMG\left_2023_12_16_13_38_34_108.jpg,E:\ML\IMG\right_2023_12_16_13_38_34_108.jpg,0,0.7972727,0,28.66239
E:\ML\IMG\center_2023_12_16_13_38_34_175.jpg,E:\ML\IMG\left_2023_12_16_13_38_34_175.jpg,E:\ML\IMG\right_2023_12_16_13_38_34_175.jpg,0,1,0,29.32955
E:\ML\IMG\center_2023_12_16_13_38_34_258.jpg,E:\ML\IMG\left_2023_12_16_13_38_34_258.jpg,E:\ML\IMG\right_2023_12_16_13_38_34_258.jpg,0,1,0,30.05999
E:\ML\IMG\center_2023_12_16_13_38_34_342.jpg,E:\ML\IMG\left_2023_12_16_13_38_34_342.jpg,E:\ML\IMG\right_2023_12_16_13_38_34_342.jpg,0,1,0,30.19015
E:\ML\IMG\center_2023_12_16_13_38_34_424.jpg,E:\ML\IMG\left_2023_12_16_13_38_34_424.jpg,E:\ML\IMG\right_2023_12_16_13_38_34_424.jpg,0.1,1,0,30.18763
E:\ML\IMG\center_2023_12_16_13_38_34_492.jpg,E:\ML\IMG\left_2023_12_16_13_38_34_492.jpg,E:\ML\IMG\right_2023_12_16_13_38_34_492.jpg,0,1,0,30.18575
E:\ML\IMG\center_2023_12_16_13_38_34_575.jpg,E:\ML\IMG\left_2023_12_16_13_38_34_575.jpg,E:\ML\IMG\right_2023_12_16_13_38_34_575.jpg,0,1,0,30.1898
E:\ML\IMG\center_2023_12_16_13_38_34_657.jpg,E:\ML\IMG\left_2023_12_16_13_38_34_657.jpg,E:\ML\IMG\right_2023_12_16_13_38_34_657.jpg,0,1,0,30.19011
E:\ML\IMG\center_2023_12_16_13_38_34_724.jpg,E:\ML\IMG\left_2023_12_16_13_38_34_724.jpg,E:\ML\IMG\right_2023_12_16_13_38_34_724.jpg,0,1,0,30.1902
E:\ML\IMG\center_2023_12_16_13_38_34_791.jpg,E:\ML\IMG\left_2023_12_16_13_38_34_791.jpg,E:\ML\IMG\right_2023_12_16_13_38_34_791.jpg,0,1,0,30.19019
E:\ML\IMG\center_2023_12_16_13_38_34_860.jpg,E:\ML\IMG\left_2023_12_16_13_38_34_860.jpg,E:\ML\IMG\right_2023_12_16_13_38_34_860.jpg,0.15,1,0,30.18478
E:\ML\IMG\center_2023_12_16_13_38_34_940.jpg,E:\ML\IMG\left_2023_12_16_13_38_34_940.jpg,E:\ML\IMG\right_2023_12_16_13_38_34_940.jpg,0,1,0,30.19072
E:\ML\IMG\center_2023_12_16_13_38_35_008.jpg,E:\ML\IMG\left_2023_12_16_13_38_35_008.jpg,E:\ML\IMG\right_2023_12_16_13_38_35_008.jpg,0,1,0,30.18998
E:\ML\IMG\center_2023_12_16_13_38_35_076.jpg,E:\ML\IMG\left_2023_12_16_13_38_35_076.jpg,E:\ML\IMG\right_2023_12_16_13_38_35_076.jpg,0.05,1,0,30.19006
E:\ML\IMG\center_2023_12_16_13_38_35_161.jpg,E:\ML\IMG\left_2023_12_16_13_38_35_161.jpg,E:\ML\IMG\right_2023_12_16_13_38_35_161.jpg,0.25,1,0,30.17663
E:\ML\IMG\center_2023_12_16_13_38_35_241.jpg,E:\ML\IMG\left_2023_12_16_13_38_35_241.jpg,E:\ML\IMG\right_2023_12_16_13_38_35_241.jpg,0,1,0,30.19009
E:\ML\IMG\center_2023_12_16_13_38_35_308.jpg,E:\ML\IMG\left_2023_12_16_13_38_35_308.jpg,E:\ML\IMG\right_2023_12_16_13_38_35_308.jpg,0,1,0,30.19029
E:\ML\IMG\center_2023_12_16_13_38_35_375.jpg,E:\ML\IMG\left_2023_12_16_13_38_35_375.jpg,E:\ML\IMG\right_2023_12_16_13_38_35_375.jpg,0,1,0,30.19041
E:\ML\IMG\center_2023_12_16_13_38_35_458.jpg,E:\ML\IMG\left_2023_12_16_13_38_35_458.jpg,E:\ML\IMG\right_2023_12_16_13_38_35_458.jpg,0,1,0,30.19
E:\ML\IMG\center_2023_12_16_13_38_35_525.jpg,E:\ML\IMG\left_2023_12_16_13_38_35_525.jpg,E:\ML\IMG\right_2023_12_16_13_38_35_525.jpg,0,1,0,30.19029
E:\ML\IMG\center_2023_12_16_13_38_35_592.jpg,E:\ML\IMG\left_2023_12_16_13_38_35_592.jpg,E:\ML\IMG\right_2023_12_16_13_38_35_592.jpg,0,1,0,30.19038
E:\ML\IMG\center_2023_12_16_13_38_35_676.jpg,E:\ML\IMG\left_2023_12_16_13_38_35_676.jpg,E:\ML\IMG\right_2023_12_16_13_38_35_676.jpg,0,1,0,30.19005
E:\ML\IMG\center_2023_12_16_13_38_35_759.jpg,E:\ML\IMG\left_2023_12_16_13_38_35_759.jpg,E:\ML\IMG\right_2023_12_16_13_38_35_759.jpg,0,1,0,30.19024
E:\ML\IMG\center_2023_12_16_13_38_35_825.jpg,E:\ML\IMG\left_2023_12_16_13_38_35_825.jpg,E:\ML\IMG\right_2023_12_16_13_38_35_825.jpg,0,1,0,30.19031
E:\ML\IMG\center_2023_12_16_13_38_35_908.jpg,E:\ML\IMG\left_2023_12_16_13_38_35_908.jpg,E:\ML\IMG\right_2023_12_16_13_38_35_908.jpg,0.15,1,0,30.18452
E:\ML\IMG\center_2023_12_16_13_38_35_992.jpg,E:\ML\IMG\left_2023_12_16_13_38_35_992.jpg,E:\ML\IMG\right_2023_12_16_13_38_35_992.jpg,0,1,0,30.18304
E:\ML\IMG\center_2023_12_16_13_38_36_075.jpg,E:\ML\IMG\left_2023_12_16_13_38_36_075.jpg,E:\ML\IMG\right_2023_12_16_13_38_36_075.jpg,0,1,0,30.18964
E:\ML\IMG\center_2023_12_16_13_38_36_158.jpg,E:\ML\IMG\left_2023_12_16_13_38_36_158.jpg,E:\ML\IMG\right_2023_12_16_13_38_36_158.jpg,0,1,0,30.19034
E:\ML\IMG\center_2023_12_16_13_38_36_224.jpg,E:\ML\IMG\left_2023_12_16_13_38_36_224.jpg,E:\ML\IMG\right_2023_12_16_13_38_36_224.jpg,0,1,0,30.19047
E:\ML\IMG\center_2023_12_16_13_38_36_292.jpg,E:\ML\IMG\left_2023_12_16_13_38_36_292.jpg,E:\ML\IMG\right_2023_12_16_13_38_36_292.jpg,0,1,0,30.19051
E:\ML\IMG\center_2023_12_16_13_38_36_376.jpg,E:\ML\IMG\left_2023_12_16_13_38_36_376.jpg,E:\ML\IMG\right_2023_12_16_13_38_36_376.jpg,0,1,0,30.19005
E:\ML\IMG\center_2023_12_16_13_38_36_459.jpg,E:\ML\IMG\left_2023_12_16_13_38_36_459.jpg,E:\ML\IMG\right_2023_12_16_13_38_36_459.jpg,0,1,0,30.19034
